aX,aY,aZ,gX,gY,gZ
0.329,-0.717,0.938,137.024,6.897,-133.301
0.332,-1.778,1.228,189.392,-12.024,-239.441
0.389,-2.598,1.498,234.070,-49.866,-362.732
0.234,-3.204,1.363,241.089,-98.083,-476.685
-0.448,-3.331,0.825,215.576,-103.821,-544.678
-1.328,-2.705,0.441,107.483,-81.055,-541.260
-2.235,-1.802,0.642,-14.221,-35.278,-438.477
-2.493,-0.954,0.936,-99.365,19.897,-248.596
-2.000,-0.338,1.357,-104.309,80.811,-10.315
-1.332,-0.219,1.246,-63.110,121.643,223.938
-0.973,-0.156,1.155,-31.433,134.888,407.166
-0.737,0.258,1.049,-30.762,122.437,517.273
-0.597,0.690,0.894,-68.298,95.581,566.162
-0.528,0.988,0.902,-134.583,71.838,560.425
-0.435,1.502,0.843,-175.781,55.908,495.850
-0.275,2.183,0.623,-161.133,41.443,388.245
-0.161,2.916,0.382,-100.403,32.410,273.865
-0.153,3.201,0.272,-29.175,34.607,176.758
-0.220,3.089,0.190,44.067,47.607,92.224
-0.140,2.548,0.184,111.877,65.369,13.245
-0.038,1.888,0.226,160.339,79.468,-63.660
0.094,1.308,0.342,188.049,84.167,-136.963
0.218,0.732,0.430,196.899,78.674,-199.646
0.324,0.053,0.414,201.294,66.284,-251.587
0.401,-0.772,0.383,201.233,52.368,-295.776
0.454,-1.630,0.364,182.922,39.917,-333.557
0.494,-2.381,0.464,136.353,24.231,-364.624
0.370,-2.839,0.705,67.749,-4.395,-381.042
-0.010,-2.715,0.942,-13.062,-53.223,-365.173
-0.381,-2.071,1.184,-110.718,-122.070,-300.964
-0.877,-1.270,1.147,-165.466,-175.842,-181.335
-1.390,-0.451,1.183,-167.114,-191.101,-23.132
-1.504,0.139,1.199,-152.771,-182.190,138.123
-1.364,0.571,1.312,-139.282,-156.372,275.024
-1.219,1.102,1.403,-129.333,-121.582,365.906
