aX,aY,aZ,gX,gY,gZ
-0.345,0.356,2.050,-45.349,-31.128,189.758
-0.293,0.495,1.982,-43.335,-12.817,193.726
-0.227,0.596,1.897,-37.842,5.554,191.101
-0.186,0.634,1.758,-30.212,21.851,182.434
-0.168,0.664,1.618,-25.208,34.424,169.006
-0.170,0.765,1.537,-27.100,43.396,154.419
-0.163,0.874,1.487,-32.776,48.950,141.907
-0.126,0.957,1.448,-37.170,53.284,131.165
-0.087,1.008,1.418,-36.255,58.655,119.629
-0.075,1.014,1.326,-26.733,63.904,105.896
-0.069,0.997,1.228,-13.123,67.566,90.515
-0.063,0.931,1.129,-2.197,68.481,77.148
-0.051,0.835,1.040,3.967,66.956,65.796
-0.048,0.761,0.967,7.324,63.171,54.871
-0.046,0.686,0.896,9.705,57.251,45.166
-0.046,0.605,0.822,11.658,51.025,36.987
-0.043,0.525,0.763,11.414,45.654,30.823
-0.035,0.454,0.721,8.728,42.236,25.452
-0.030,0.400,0.695,4.211,39.246,20.752
-0.035,0.369,0.703,-0.793,35.461,16.724
-0.039,0.354,0.727,-5.920,30.518,13.672
-0.031,0.338,0.738,-9.888,24.963,11.597
-0.020,0.317,0.761,-11.597,21.057,9.949
-0.009,0.294,0.805,-10.681,18.250,7.751
-0.006,0.270,0.823,-8.606,14.587,5.798
-0.007,0.237,0.820,-7.385,10.803,4.272
0.000,0.209,0.816,-8.118,8.362,2.991
-0.006,0.194,0.826,-10.864,7.812,1.343
-0.011,0.193,0.862,-13.489,7.629,-0.427
-0.007,0.200,0.898,-13.794,6.531,-1.404
-0.005,0.195,0.908,-12.573,3.662,-1.099

-0.205,0.542,2.007,-73.181,44.006,172.241
-0.163,0.708,2.017,-80.017,67.078,169.861
-0.118,0.859,2.037,-84.900,90.027,161.987
-0.088,0.990,2.043,-84.534,110.291,149.597
-0.071,1.089,2.004,-78.674,126.587,133.850
-0.063,1.154,1.951,-69.885,139.648,117.004
-0.063,1.200,1.878,-61.707,148.865,99.121
-0.068,1.206,1.781,-54.260,155.640,79.895
-0.086,1.178,1.665,-46.509,161.743,58.899
-0.131,1.154,1.522,-39.307,168.274,37.537
-0.187,1.129,1.380,-35.522,175.720,18.250
-0.215,1.100,1.283,-35.522,182.373,1.953
-0.253,1.090,1.189,-36.743,186.462,-11.719
-0.285,1.086,1.107,-36.377,189.148,-24.414
-0.296,1.069,1.008,-34.119,190.735,-35.522
-0.297,1.035,0.925,-31.738,191.528,-45.837
-0.308,1.033,0.863,-29.297,191.711,-56.458
-0.309,1.044,0.812,-25.757,190.063,-66.467
-0.301,1.035,0.741,-20.142,186.157,-75.012
-0.297,1.010,0.656,-10.864,182.129,-84.290
-0.290,0.986,0.553,-1.221,177.002,-94.604
-0.286,0.939,0.415,5.676,171.509,-104.492
